# Matter power spectrum P(k) at redshift z=0
# for k=1.05076e-05 to 8.19543 h/Mpc,
# number of wavenumbers equal to 1964
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.870972783965e-02       7.326949633085e+03 
       9.187168903476e-02       6.894871727695e+03 
       9.506217207463e-02       6.498297185285e+03 
       9.827055650818e-02       6.147419763556e+03 
       1.014900361098e-01       5.847466074905e+03 
       1.047163395793e-01       5.598797513229e+03 
       1.079468211464e-01       5.397979342508e+03 
       1.111798549768e-01       5.238502378697e+03 
       1.144144467819e-01       5.111820881266e+03 
       1.176499902020e-01       5.008199549207e+03 
       1.208861160116e-01       4.917621940380e+03 
       1.241225995229e-01       4.830365398357e+03 
       1.273593039969e-01       4.738658563581e+03 
       1.305961461606e-01       4.635839483366e+03 
       1.338330752310e-01       4.518928743491e+03 
       1.370700601671e-01       4.387121825659e+03 
       1.403070819278e-01       4.242192818576e+03 
       1.435441287706e-01       4.087326081465e+03 
       1.467811933967e-01       3.928054402061e+03 
       1.500182712180e-01       3.769709251439e+03 
       1.532553593034e-01       3.617467449127e+03 
       1.564924557388e-01       3.475736824164e+03 
       1.597295592378e-01       3.347982850167e+03 
       1.629666689045e-01       3.235876957000e+03 
       1.662037840882e-01       3.140120065955e+03 
       1.694409042953e-01       3.060013072515e+03 
       1.726780291345e-01       2.993929376305e+03 
       1.759151582832e-01       2.939405154649e+03 
       1.791522914663e-01       2.893208118325e+03 
       1.823894284432e-01       2.852544810491e+03 
       1.856265689993e-01       2.814361965988e+03 
       1.888637129400e-01       2.775913915927e+03 
       1.921008600874e-01       2.734684601858e+03 
       1.953380102776e-01       2.688815010465e+03 
       1.985751633586e-01       2.637706021294e+03 
       2.018123191889e-01       2.581549238978e+03 
       2.050494776365e-01       2.521208016219e+03 
       2.082866385781e-01       2.458072434584e+03 
       2.115238018980e-01       2.393871485377e+03 
       2.147609674877e-01       2.330655658713e+03 
       2.179981352452e-01       2.269691131923e+03 
       2.212353050746e-01       2.212388655516e+03 
       2.244724768856e-01       2.159665695714e+03 
       2.277096505931e-01       2.111987210728e+03 
       2.309468261168e-01       2.069549947252e+03 
       2.341840033808e-01       2.032114176567e+03 
       2.374211823134e-01       1.999333961499e+03 
       2.406583628468e-01       1.970473605679e+03 
       2.438955449170e-01       1.944525050563e+03 
       2.471327284631e-01       1.920422487209e+03 
       2.503699134274e-01       1.897264247951e+03 
       2.536070997554e-01       1.874143335544e+03 
       2.568442873952e-01       1.850392445575e+03 
       2.600814762974e-01       1.825448745166e+03 
       2.633186664152e-01       1.799210609285e+03 
       2.665558577041e-01       1.771627654317e+03 
       2.697930501217e-01       1.742919296093e+03 
       2.730302436275e-01       1.713412746894e+03 
       2.762674381832e-01       1.683570246534e+03 
       2.795046337519e-01       1.653925771834e+03 
       2.827418302988e-01       1.625018907430e+03 
       2.859790277904e-01       1.597287040823e+03 
       2.892162261948e-01       1.571171525391e+03 
       2.924534254815e-01       1.546763625704e+03 
       2.956906256215e-01       1.524217385674e+03 
       2.989278265868e-01       1.503484097009e+03 
       3.021650283507e-01       1.484370154043e+03 
       3.054022308878e-01       1.466594570120e+03 
       3.086394341736e-01       1.449876611345e+03 
       3.118766381846e-01       1.434029401247e+03 
       3.151138428984e-01       1.418665801659e+03 
       3.183510482934e-01       1.403534187772e+03 
       3.215882543490e-01       1.388440928597e+03 
       3.248254610453e-01       1.373177279828e+03 
       3.280626683632e-01       1.357637287699e+03 
       3.312998762845e-01       1.341846099886e+03 
       3.345370847915e-01       1.325786992948e+03 
       3.377742938674e-01       1.309617713918e+03 
       3.410115034958e-01       1.293483663824e+03 
       3.442487136610e-01       1.277495953502e+03 
       3.474859243481e-01       1.261820268987e+03 
       3.507231355425e-01       1.246563412165e+03 
       3.539603472302e-01       1.231833271819e+03 
       3.571975593977e-01       1.217671372972e+03 
       3.604347720321e-01       1.204167158601e+03 
       3.636719851208e-01       1.191315970637e+03 
       3.669091986518e-01       1.179083172301e+03 
       3.701464126133e-01       1.167414187388e+03 
       3.733836269942e-01       1.156220249582e+03 
       3.766208417836e-01       1.145400252268e+03 
       3.798580569710e-01       1.134865134956e+03 
       3.830952725463e-01       1.124497467287e+03 
       3.863324884996e-01       1.114261039961e+03 
       3.895697048216e-01       1.104086410911e+03 
       3.928069215030e-01       1.093961352124e+03 
       3.960441385350e-01       1.083882958191e+03 
       3.992813559091e-01       1.073833398365e+03 
       4.025185736170e-01       1.063822903193e+03 
       4.057557916506e-01       1.053893918065e+03 
       4.089930100022e-01       1.044061155488e+03 
       4.122302286642e-01       1.034377701529e+03 
       4.154674476294e-01       1.024895821385e+03 
       4.187046668907e-01       1.015611032976e+03 
       4.219418864413e-01       1.006575312988e+03 
       4.251791062746e-01       9.977881430656e+02 
       4.284163263840e-01       9.892462852972e+02 
       4.316535467635e-01       9.809403968803e+02 
       4.348907674068e-01       9.728594087315e+02 
       4.381279883082e-01       9.649897012872e+02 
       4.413652094619e-01       9.573161683944e+02 
       4.446024308625e-01       9.498184727832e+02 
       4.478396525045e-01       9.424678909065e+02 
       4.510768743827e-01       9.352493488893e+02 
       4.543140964921e-01       9.281295756456e+02 
       4.575513188278e-01       9.210976283138e+02 
       4.607885413849e-01       9.141289676046e+02 
       4.640257641588e-01       9.072382553179e+02 
       4.672629871449e-01       9.004096255950e+02 
       4.705002103390e-01       8.936523881640e+02 
       4.737374337367e-01       8.869665369070e+02 
       4.769746573338e-01       8.803753206759e+02 
       4.802118811263e-01       8.738787204014e+02 
       4.834491051103e-01       8.674641673305e+02 
       4.866863292819e-01       8.611658688923e+02 
       4.899235536374e-01       8.549893992322e+02 
       4.931607781732e-01       8.489294807949e+02 
       4.963980028857e-01       8.429954294194e+02 
       4.996352277714e-01       8.371847045254e+02 
       5.028724528271e-01       8.314894041244e+02 
       5.061096780495e-01       8.258957505697e+02 
       5.093469034353e-01       8.204001940467e+02 
       5.125841289815e-01       8.149914781360e+02 
       5.158213546850e-01       8.096642075806e+02 
       5.190585805429e-01       8.044044027081e+02 
       5.222958065523e-01       7.992257458042e+02 
       5.255330327103e-01       7.941084296889e+02 
       5.287702590143e-01       7.890435639707e+02 
       5.320074854616e-01       7.840359334164e+02 
       5.352447120496e-01       7.790835136544e+02 
       5.384819387757e-01       7.741895221878e+02 
       5.417191656374e-01       7.693497953947e+02 
       5.449563926324e-01       7.645738687101e+02 
       5.481936197582e-01       7.598685497107e+02 
       5.514308470125e-01       7.552321798609e+02 
       5.546680743931e-01       7.506592167149e+02 
       5.579053018978e-01       7.461509843544e+02 
       5.611425295244e-01       7.417030273988e+02 
       5.643797572709e-01       7.373203014841e+02 
       5.676169851351e-01       7.330013468422e+02 
       5.708542131150e-01       7.287440482255e+02 
       5.740914412088e-01       7.245475936026e+02 
       5.773286694144e-01       7.204116522467e+02 
       5.805658977300e-01       7.163268485562e+02 
       5.838031261537e-01       7.122893778002e+02 
       5.870403546839e-01       7.083025068091e+02 
       5.902775833186e-01       7.043573467635e+02 
       5.935148120563e-01       7.004665790918e+02 
       5.967520408951e-01       6.966067823300e+02 
       5.999892698336e-01       6.928034588847e+02 
       6.032264988700e-01       6.890394619711e+02 
       6.064637280027e-01       6.853151828114e+02 
       6.097009572304e-01       6.816332557942e+02 
       6.129381865514e-01       6.779954459028e+02 
       6.161754159642e-01       6.743888398338e+02 
       6.194126454675e-01       6.708282951315e+02 
       6.226498750598e-01       6.673104528979e+02 
       6.258871047397e-01       6.638344403090e+02 
       6.291243345059e-01       6.604013026600e+02 
       6.323615643571e-01       6.570084318927e+02 
       6.355987942918e-01       6.536536578670e+02 
       6.388360243090e-01       6.503360617912e+02 
       6.420732544073e-01       6.470549788965e+02 
       6.453104845854e-01       6.438130536912e+02 
       6.485477148423e-01       6.406028006307e+02 
       6.517849451766e-01       6.374300899438e+02 
       6.550221755874e-01       6.342933380898e+02 
       6.582594060734e-01       6.311851362524e+02 
       6.614966366335e-01       6.281095224872e+02 
       6.647338672666e-01       6.250637302492e+02 
       6.679710979718e-01       6.220477580255e+02 
       6.712083287479e-01       6.190620380114e+02 
       6.744455595938e-01       6.161068976269e+02 
       6.776827905087e-01       6.131822382957e+02 
       6.809200214916e-01       6.102873890851e+02 
       6.841572525413e-01       6.074209364293e+02 
       6.873944836571e-01       6.045831609245e+02 
       6.906317148380e-01       6.017714382163e+02 
       6.938689460830e-01       5.989858890754e+02 
       6.971061773913e-01       5.962292156459e+02 
       7.003434087620e-01       5.934998595298e+02 
       7.035806401942e-01       5.907980434175e+02 
       7.068178716871e-01       5.881227392849e+02 
       7.100551032398e-01       5.854727754304e+02 
       7.132923348516e-01       5.828467025660e+02 
       7.165295665216e-01       5.802460623553e+02 
       7.197667982491e-01       5.776668433103e+02 
       7.230040300332e-01       5.751131775388e+02 
       7.262412618732e-01       5.725811138884e+02 
       7.294784937684e-01       5.700743433090e+02 
       7.327157257180e-01       5.675898689939e+02 
       7.359529577213e-01       5.651272346526e+02 
       7.391901897776e-01       5.626856559579e+02 
       7.424274218863e-01       5.602647685452e+02 
       7.456646540465e-01       5.578646072485e+02 
       7.489018862577e-01       5.554855631141e+02 
       7.521391185192e-01       5.531276871147e+02 
       7.553763508304e-01       5.507915354736e+02 
       7.586135831906e-01       5.484738924772e+02 
       7.618508155991e-01       5.461771705677e+02 
       7.650880480554e-01       5.438989281098e+02 
       7.683252805589e-01       5.416395283089e+02 
       7.715625131090e-01       5.393987690276e+02 
       7.747997457050e-01       5.371768303575e+02 
       7.780369783464e-01       5.349737301476e+02 
       7.812742110327e-01       5.327902605239e+02 
       7.845114437633e-01       5.306230927006e+02 
       7.877486765376e-01       5.284739505353e+02 
       7.909859093551e-01       5.263415793069e+02 
       7.942231422153e-01       5.242256818712e+02 
