# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   83       2.899520025966e-10       6.801190624664e-14      -1.628693415221e-12       3.026227869614e-16       1.656545204977e-11       2.073383949582e-12      -8.528287556103e-15 
   84       2.935438428634e-10       7.002721599557e-14      -1.705611598421e-12       3.099873591730e-16       1.607966115632e-11       2.022704206500e-12      -8.389354756779e-15 
   85       2.971651732006e-10       7.205340999212e-14      -1.783552470121e-12       3.174421048295e-16       1.561125387590e-11       1.973710350893e-12      -8.268574440314e-15 
   86       3.008166783323e-10       7.408882965272e-14      -1.862470849719e-12       3.249871409793e-16       1.516020516353e-11       1.926400639307e-12      -8.163932624042e-15 
   87       3.044988402960e-10       7.613176344451e-14      -1.942320507956e-12       3.326225903277e-16       1.472628708092e-11       1.880752058298e-12      -8.073096780253e-15 
   88       3.082119275252e-10       7.818044661633e-14      -2.023054195202e-12       3.403485814029e-16       1.430906038251e-11       1.836719435677e-12      -7.993405168009e-15 
   89       3.119559839308e-10       8.023306092978e-14      -2.104623669740e-12       3.481652487232e-16       1.390786610144e-11       1.794234551769e-12      -7.921856164974e-15 
   90       3.157308179839e-10       8.228773439021e-14      -2.186979726057e-12       3.560727329632e-16       1.352181713561e-11       1.753205250670e-12      -7.855097599234e-15 
   91       3.195359917975e-10       8.434254097776e-14      -2.270072223128e-12       3.640711811210e-16       1.314978983363e-11       1.713514551497e-12      -7.789416081121e-15 
   92       3.233708102086e-10       8.639550037834e-14      -2.353850112700e-12       3.721607466846e-16       1.279041558082e-11       1.675019759649e-12      -7.720726335039e-15 
   93       3.272345741451e-10       8.844463178347e-14      -2.438260250939e-12       3.803416606200e-16       1.244240576359e-11       1.637588346319e-12      -7.645512421903e-15 
   94       3.311274080287e-10       9.048812512960e-14      -2.523243567459e-12       3.886144561869e-16       1.210560084584e-11       1.601213690259e-12      -7.563836508953e-15 
   95       3.350495372067e-10       9.252419523571e-14      -2.608738369730e-12       3.969797784007e-16       1.178006425122e-11       1.565915181384e-12      -7.476765000343e-15 
