# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 20500, i.e. number of multipoles equal to 20499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   74       2.587630191167e-10       5.038488349531e-14      -9.913723014388e-13       0.000000000000e+00       2.191906943202e-11       2.624143111871e-12      -1.050384514998e-14 
   75       2.620719551268e-10       5.223320606123e-14      -1.056614151480e-12       0.000000000000e+00       2.122502294243e-11       2.553445225435e-12      -1.023892881627e-14 
   76       2.654111689560e-10       5.410465877587e-14      -1.123360216423e-12       0.000000000000e+00       2.055691600146e-11       2.485218790416e-12      -9.979207391628e-15 
   77       2.687812397069e-10       5.599800791727e-14      -1.191570697340e-12       0.000000000000e+00       1.991421396442e-11       2.419414699614e-12      -9.729819888721e-15 
   78       2.721829210254e-10       5.791204390090e-14      -1.261199276578e-12       0.000000000000e+00       1.929692622054e-11       2.356043523169e-12      -9.492168513686e-15 
   79       2.756166425559e-10       5.984551234008e-14      -1.332196442292e-12       0.000000000000e+00       1.870469593201e-11       2.295079096176e-12      -9.267646833330e-15 
   80       2.790824914067e-10       6.179711399514e-14      -1.404509446558e-12       0.000000000000e+00       1.813678320216e-11       2.236456806034e-12      -9.057637302596e-15 
   81       2.825801936159e-10       6.376550472249e-14      -1.478082263496e-12       0.000000000000e+00       1.759204824382e-11       2.180071879792e-12      -8.863508792014e-15 
   82       2.861090956164e-10       6.574929542380e-14      -1.552855547385e-12       0.000000000000e+00       1.706893454750e-11       2.125777671506e-12      -8.686614115159e-15 
   83       2.896681457021e-10       6.774705199505e-14      -1.628766590784e-12       0.000000000000e+00       1.656545204977e-11       2.073383949582e-12      -8.528287556103e-15 
   84       2.932563285236e-10       6.975728196684e-14      -1.705753449726e-12       0.000000000000e+00       1.607966115632e-11       2.022704206500e-12      -8.389354756779e-15 
   85       2.968740919358e-10       7.177839199187e-14      -1.783768196781e-12       0.000000000000e+00       1.561125387590e-11       1.973710350893e-12      -8.268574440314e-15 
   86       3.005221238095e-10       7.380872318371e-14      -1.862765798501e-12       0.000000000000e+00       1.516020516353e-11       1.926400639307e-12      -8.163932624042e-15 
   87       3.042009092723e-10       7.584656352852e-14      -1.942700171424e-12       0.000000000000e+00       1.472628708092e-11       1.880752058298e-12      -8.073096780253e-15 
   88       3.079107197887e-10       7.789014761054e-14      -2.023524210230e-12       0.000000000000e+00       1.430906038251e-11       1.836719435677e-12      -7.993405168009e-15 
   89       3.116516022388e-10       7.993765633748e-14      -2.105189815896e-12       0.000000000000e+00       1.390786610144e-11       1.794234551769e-12      -7.921856164974e-15 
   90       3.154233679987e-10       8.198721666601e-14      -2.187647923847e-12       0.000000000000e+00       1.352181713561e-11       1.753205250670e-12      -7.855097599234e-15 
   91       3.192255820193e-10       8.403690132716e-14      -2.270848532111e-12       0.000000000000e+00       1.314978983363e-11       1.713514551497e-12      -7.789416081121e-15 
   92       3.230575519064e-10       8.608472855180e-14      -2.354740729473e-12       0.000000000000e+00       1.279041558082e-11       1.675019759649e-12      -7.720726335039e-15 
   93       3.269185818679e-10       8.812871575126e-14      -2.439271502025e-12       0.000000000000e+00       1.244240576359e-11       1.637588346319e-12      -7.645512421903e-15 
   94       3.308088019662e-10       9.016705039114e-14      -2.524381886336e-12       0.000000000000e+00       1.210560084584e-11       1.601213690259e-12      -7.563836508953e-15 
   95       3.347284439750e-10       9.219794442891e-14      -2.610010287083e-12       0.000000000000e+00       1.178006425122e-11       1.565915181384e-12      -7.476765000343e-15 
   96       3.386775804368e-10       9.421958310836e-14      -2.696093658329e-12       0.000000000000e+00       1.146575925709e-11       1.531702624675e-12      -7.385459332999e-15 
   97       3.426561173785e-10       9.623012542570e-14      -2.782567514914e-12       0.000000000000e+00       1.116254515672e-11       1.498575856139e-12      -7.291178374891e-15 
   98       3.466637870267e-10       9.822770459563e-14      -2.869365943836e-12       0.000000000000e+00       1.087017342158e-11       1.466524358783e-12      -7.195280823303e-15 
   99       3.507001405226e-10       1.002104285174e-13      -2.956421615636e-12       0.000000000000e+00       1.058828386352e-11       1.435526878576e-12      -7.099227603102e-15 
  100       3.547645406382e-10       1.021763802410e-13      -3.043665795786e-12       0.000000000000e+00       1.031640079702e-11       1.405551040419e-12      -7.004584265006e-15 
  101       3.588561544904e-10       1.041236184329e-13      -3.131028356069e-12       0.000000000000e+00       1.005392920143e-11       1.376552964109e-12      -6.913023383858e-15 
  102       3.629739462576e-10       1.060501778426e-13      -3.218437785970e-12       0.000000000000e+00       9.800150883204e-12       1.348476880310e-12      -6.826326956893e-15 
  103       3.671166698941e-10       1.079540697684e-13      -3.305821204054e-12       0.000000000000e+00       9.554220638111e-12       1.321254746516e-12      -6.746388802010e-15 
  104       3.712831334422e-10       1.098333274139e-13      -3.393105687326e-12       0.000000000000e+00       9.315358001172e-12       1.294821683175e-12      -6.674764377812e-15 
  105       3.754730483208e-10       1.116861479313e-13      -3.480222439291e-12       0.000000000000e+00       9.083460262338e-12       1.269165483993e-12      -6.611245819777e-15 
  106       3.796862817167e-10       1.135107705245e-13      -3.567103208783e-12       0.000000000000e+00       8.858565491092e-12       1.244283108938e-12      -6.555097987202e-15 
  107       3.839225909845e-10       1.153054342196e-13      -3.653679047829e-12       0.000000000000e+00       8.640662675457e-12       1.220165253675e-12      -6.505491308125e-15 
  108       3.881816193473e-10       1.170683788246e-13      -3.739880337517e-12       0.000000000000e+00       8.429690033544e-12       1.196796139378e-12      -6.461499204208e-15 
  109       3.924628915957e-10       1.187978458887e-13      -3.825636813866e-12       0.000000000000e+00       8.225533325098e-12       1.174153302551e-12      -6.422095515621e-15 
  110       3.967658097884e-10       1.204920796618e-13      -3.910877593690e-12       0.000000000000e+00       8.028024163047e-12       1.152207384835e-12      -6.386151925924e-15 
  111       4.010896489516e-10       1.221493280533e-13      -3.995531200471e-12       0.000000000000e+00       7.836938325053e-12       1.130921922828e-12      -6.352435386951e-15 
  112       4.054335527795e-10       1.237678435924e-13      -4.079525590222e-12       0.000000000000e+00       7.651994065053e-12       1.110253137900e-12      -6.319605543689e-15 
  113       4.097965293334e-10       1.253458843866e-13      -4.162788177360e-12       0.000000000000e+00       7.472850424811e-12       1.090149726004e-12      -6.286212159168e-15 
  114       4.141774467423e-10       1.268817150818e-13      -4.245245860570e-12       0.000000000000e+00       7.299105545469e-12       1.070552647494e-12      -6.250692539335e-15 
  115       4.185750289026e-10       1.283736078210e-13      -4.326825048676e-12       0.000000000000e+00       7.130294979089e-12       1.051394916938e-12      -6.211368957944e-15 
  116       4.229880341640e-10       1.298198906605e-13      -4.407452261640e-12       0.000000000000e+00       6.965993611554e-12       1.032616913771e-12      -6.166818895381e-15 
  117       4.274158252289e-10       1.312190974433e-13      -4.487055961162e-12       0.000000000000e+00       6.806139099387e-12       1.014214875420e-12      -6.117042327995e-15 
  118       4.318578607894e-10       1.325698380335e-13      -4.565564992260e-12       0.000000000000e+00       6.650744769132e-12       9.961979327741e-13      -6.062432184066e-15 
  119       4.363135160885e-10       1.338707538547e-13      -4.642908058668e-12       0.000000000000e+00       6.499798760656e-12       9.785730447366e-13      -6.003414941898e-15 
  120       4.407820802374e-10       1.351205192691e-13      -4.719013753787e-12       0.000000000000e+00       6.353263254797e-12       9.613449252677e-13      -5.940451351024e-15 
