# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.017524182325e+03       4.171037281502e-04       2.950857538854e+02       4.665022137706e+00       1.388391258238e+04       1.363140200628e+01       1.414110071043e+07       1.511319834235e+02       2.961177567539e+00       2.609910428424e+00       1.414289299727e+01       3.426601706359e-08       2.048450517785e+00       2.176243154528e+01       1.618475475957e+04       1.330199285313e+00 
       1.010434602183e+03       4.220149431083e-04       2.966140787391e+02       4.612699745175e+00       1.388238425753e+04       1.372543931913e+01       1.404112379886e+07       1.518161528259e+02       2.879587639432e+00       2.555788962106e+00       1.384961315952e+01       3.426601706359e-08       1.992009143816e+00       2.127699893914e+01       1.633575278168e+04       1.328762446175e+00 
       1.003394354961e+03       4.269818665769e-04       2.981489807719e+02       4.560983726841e+00       1.388084935549e+04       1.382011884767e+01       1.394184673472e+07       1.525023082035e+02       2.800245606878e+00       2.502789694687e+00       1.356241442661e+01       3.426601706359e-08       1.937122794058e+00       2.080257255650e+01       1.648799459859e+04       1.327328854690e+00 
       9.964030975373e+02       4.320051089529e-04       2.996904816642e+02       4.509866770757e+00       1.387930785460e+04       1.391544490775e+01       1.384326464585e+07       1.531904483314e+02       2.723089543050e+00       2.450889360331e+00       1.328117072288e+01       3.426601706359e-08       1.883748629458e+00       2.033889828998e+01       1.664148911794e+04       1.325898528473e+00 
       9.894604891748e+02       4.370852871514e-04       3.012386031582e+02       4.459341657001e+00       1.387775973311e+04       1.401142184346e+01       1.374537269390e+07       1.538805719461e+02       2.648059226967e+00       2.400065175494e+00       1.300575858612e+01       3.426601706359e-08       1.831844991016e+00       1.988572801386e+01       1.679624530512e+04       1.324471484926e+00 
       9.825661915050e+02       4.422230246748e-04       3.027933670577e+02       4.409401256460e+00       1.387620496921e+04       1.410805402733e+01       1.364816607411e+07       1.545726777463e+02       2.575096096513e+00       2.350294828923e+00       1.273605711349e+01       3.426601706359e-08       1.781371367281e+00       1.944281944047e+01       1.695227218369e+04       1.323047741238e+00 
       9.757198685115e+02       4.474189516820e-04       3.043547952291e+02       4.360038529649e+00       1.387464354104e+04       1.420534586051e+01       1.355164001504e+07       1.552667643920e+02       2.504143202744e+00       2.301556471874e+00       1.247194790840e+01       3.426601706359e-08       1.732288362744e+00       1.900993598003e+01       1.710957883579e+04       1.321627314381e+00 
       9.689211865133e+02       4.526737050589e-04       3.059229096008e+02       4.311246525535e+00       1.387307542666e+04       1.430330177294e+01       1.345578977842e+07       1.559628305055e+02       2.435145165457e+00       2.253828708519e+00       1.221331502859e+01       3.426601706359e-08       1.684557667106e+00       1.858684660394e+01       1.726817440253e+04       1.320210221116e+00 
       9.621698141492e+02       4.579879284892e-04       3.074977321644e+02       4.263018380382e+00       1.387150060410e+04       1.440192622352e+01       1.336061065882e+07       1.566608746710e+02       2.368048129979e+00       2.207090586562e+00       1.196004493529e+01       3.426601706359e-08       1.638142025379e+00       1.817332571147e+01       1.742806808444e+04       1.318796477986e+00 
       9.554654223610e+02       4.633622725262e-04       3.090792849745e+02       4.215347316607e+00       1.386991905129e+04       1.450122370033e+01       1.326609798350e+07       1.573608954348e+02       2.302799725153e+00       2.161321588047e+00       1.171202644333e+01       3.426601706359e-08       1.593005208824e+00       1.776915299962e+01       1.758926914181e+04       1.317386101324e+00 
       9.488076843779e+02       4.687973946650e-04       3.106675901493e+02       4.168226641657e+00       1.386833074612e+04       1.460119872077e+01       1.317224711215e+07       1.580628913053e+02       2.239349022471e+00       2.116501620352e+00       1.146915067245e+01       3.426601706359e-08       1.549111986686e+00       1.737411333622e+01       1.775178689519e+04       1.315979107244e+00 
       9.421962757005e+02       4.742939594166e-04       3.122626698708e+02       4.121649746899e+00       1.386673566639e+04       1.470185583175e+01       1.307905343667e+07       1.587668607533e+02       2.177646496342e+00       2.072611007376e+00       1.123131099943e+01       3.426601706359e-08       1.506428098701e+00       1.698799663611e+01       1.791563072577e+04       1.314575511650e+00 
